id;ANALFABETOS;ALFABETOS;PRIMARIA;NIVEL MEDIO;UNIVERSITARIOS;RAZA;SEXO
1;2298;4800;1471;450;2879;1;1
2;2448;5536;1807;2966;763;1;1
3;1724;3638;1421;1183;1034;1;1
4;583;2772;1747;895;130;1;1
5;31;5010;2576;602;1832;1;1
6;883;5972;2129;2947;896;1;1
7;1160;4563;139;1879;2545;1;1
8;689;3472;275;263;2934;1;1
9;49;3094;678;1521;895;1;1
10;904;2996;2060;693;243;1;1
11;2807;6042;1986;1752;2304;1;1
12;819;6088;2541;2503;1044;1;1
13;1732;7004;2080;2113;2811;1;1
14;970;7497;1661;2958;2878;1;1
15;1708;3195;542;1376;1277;1;1
16;101;6321;2785;2374;1162;1;1
17;1972;5427;2691;1734;1002;1;1
18;913;7974;2804;2298;2872;1;1
19;384;4204;418;2953;833;1;1
20;2734;5026;1018;1300;2708;1;1
21;20;2335;494;130;1711;1;1
22;1841;3121;847;2261;13;1;1
23;284;2988;1172;390;1426;1;1
24;2960;873;565;151;157;1;1
25;1032;3416;824;1788;804;1;1
26;191;4533;2018;1752;763;1;1
27;2278;5538;271;2903;2364;1;1
28;2048;4457;2129;542;1786;1;1
29;1907;1289;1013;81;195;1;1
30;851;5333;1271;1611;2451;1;1
31;474;3360;1757;1373;230;1;1
32;2284;3295;1372;1314;609;1;1
33;646;5482;2719;1035;1728;1;1
34;2208;2555;1698;115;742;1;1
35;443;4216;359;1024;2833;1;1
36;2599;4536;2672;1278;586;1;1
37;1873;3891;1729;116;2046;1;1
38;2036;6144;2810;1066;2268;1;1
39;2120;2814;293;1459;1062;1;1
40;1284;6198;2188;1192;2818;1;1
41;236;3050;838;1121;1091;1;1
42;1281;4832;383;2133;2316;1;1
43;2218;4385;2242;193;1950;1;1
44;1202;4332;2416;954;962;1;1
45;2407;5708;612;2245;2851;1;1
46;2481;5238;1665;2478;1095;1;1
47;1487;4224;88;2913;1223;1;1
48;54;1768;364;354;1050;1;1
49;498;6897;1313;2586;2998;1;1
50;892;4120;1985;1704;431;1;1
51;992;3892;988;860;2044;1;1
52;934;4545;2654;121;1770;1;1
53;1712;4337;1010;1580;1747;1;1
54;2048;7003;1898;2939;2166;1;1
55;2803;3357;1086;1488;783;1;1
56;2851;4690;2440;116;2134;1;1
57;1934;5143;1108;1201;2834;1;1
58;887;5596;2689;1322;1585;1;1
59;502;5840;2879;2598;363;1;1
60;2214;4203;1743;957;1503;1;1
61;2249;4240;1331;1513;1396;1;1
62;1200;5185;2471;2684;30;1;1
63;2948;3077;1634;752;691;1;1
64;979;4177;1765;1530;882;1;1
65;2056;3712;431;1076;2205;1;1
66;1782;4968;2190;635;2143;1;1
67;2144;4055;1869;1204;982;1;1
68;2796;4418;34;2874;1510;1;1
69;381;3423;635;1547;1241;1;1
70;2513;5217;1610;2034;1573;1;1
71;2658;5908;1362;2374;2172;1;1
72;233;5497;2950;432;2115;1;1
73;2670;4467;888;840;2739;1;1
74;2023;3052;2326;599;127;1;1
75;835;2558;266;1521;771;1;1
76;773;5981;2804;1387;1790;1;1
77;623;5315;752;2380;2183;1;1
78;1478;5341;2870;1810;661;1;1
79;1593;4655;1927;2074;654;1;1
80;2623;7547;2559;2440;2548;1;1
81;206;4262;863;2261;1138;1;1
82;1343;5506;2458;2357;691;1;1
83;812;5566;2552;2645;369;1;1
84;2661;2535;546;1381;608;1;1
85;1951;6864;2007;2707;2150;1;1
86;2776;3418;1034;1672;712;1;1
87;2593;5563;2798;1509;1256;1;1
88;2207;2692;62;347;2283;1;1
89;238;3108;2211;444;453;1;1
90;2405;4644;1182;2063;1399;1;1
91;887;6728;2618;2359;1751;1;1
92;2872;5207;2840;985;1382;1;1
93;2257;5312;1845;2060;1407;1;1
94;2908;4340;1114;1649;1577;1;1
95;424;2645;1075;1538;32;1;1
96;360;6024;1994;2542;1488;1;1
97;964;4686;2602;1589;495;1;1
98;1854;7775;2470;2886;2419;1;1
99;2050;6831;2288;1776;2767;1;1
100;1967;2312;557;1078;677;1;1
101;1852;4952;1615;838;2499;1;1
102;1341;4624;1977;1634;1013;1;1
103;186;7490;2792;2101;2597;1;1
104;2030;5579;118;2673;2788;1;1
105;35;2989;910;1513;566;1;1
106;1655;2079;892;7;1180;1;1
107;762;3957;2151;1089;717;1;1
108;1905;5250;1971;512;2767;1;1
109;1333;1058;869;45;144;1;1
110;2625;5597;231;2891;2475;1;1
111;1082;4821;2822;197;1802;1;1
112;1615;4290;2637;1147;506;1;1
113;2890;2935;365;1606;964;1;1
114;2061;3050;2224;628;198;1;1
115;2297;5303;2609;2088;606;1;1
116;9;3885;250;1951;1684;1;1
117;2645;4867;1344;2819;704;1;1
118;1427;2274;459;1800;15;1;1
119;78;4876;934;2218;1724;1;1
120;1435;5417;2706;2218;493;1;1
121;1065;4145;2271;344;1530;1;1
122;2893;3961;1318;1025;1618;1;1
123;2264;4771;495;1595;2681;1;1
124;1252;5838;1494;2634;1710;1;1
125;1038;4889;1779;1036;2074;1;1
126;1903;4868;2537;1148;1183;1;1
127;1360;2117;129;278;1710;1;1
128;1444;5237;520;1992;2725;1;1
129;2126;2438;1433;565;440;1;1
130;727;3718;2916;797;5;1;1
131;181;1044;103;834;107;1;1
132;1320;2879;851;601;1427;1;1
133;1431;6081;2351;2030;1700;1;1
134;185;5146;1785;830;2531;1;1
135;1871;7101;2413;2735;1953;1;1
136;2930;3870;506;1572;1792;1;1
137;976;5001;2952;904;1145;1;1
138;416;4826;62;2972;1792;1;1
139;1231;5008;1541;1313;2154;1;1
140;1989;2523;970;1503;50;1;1
141;586;5922;1440;2773;1709;1;1
142;1735;6380;2092;1495;2793;1;1
143;1211;3498;2901;197;400;1;1
144;2169;2881;2024;704;153;1;1
145;1526;3890;1374;2375;141;1;1
146;967;2800;872;241;1687;1;1
147;1013;5024;1469;1882;1673;1;1
148;2295;7762;2614;2545;2603;1;1
149;351;5447;470;2026;2951;1;1
150;381;3708;1872;1114;722;1;1
151;2498;4504;1223;613;2668;1;1
152;141;6942;2923;2135;1884;1;1
153;2935;4564;2025;1274;1265;1;1
154;1521;8109;2573;2674;2862;1;1
155;1054;2988;246;9;2733;1;1
156;717;5631;438;2346;2847;1;1
157;781;2630;1916;244;470;1;1
